model,category,evaluations,correct,accuracy_percent
baseline,cybercrime,75,47,62.67
baseline,discrimination,75,48,64.0
baseline,drugs,61,38,62.3
baseline,fraud,75,48,64.0
baseline,general,178,103,57.87
baseline,harassment,75,51,68.0
baseline,illegal_activity,74,48,64.86
baseline,manipulation,75,47,62.67
baseline,privacy,74,36,48.65
baseline,violence,75,46,61.33
baseline,weapons,73,48,65.75
fine_tuned,cybercrime,75,25,33.33
fine_tuned,discrimination,75,25,33.33
fine_tuned,drugs,61,26,42.62
fine_tuned,fraud,75,25,33.33
fine_tuned,general,178,172,96.63
fine_tuned,harassment,75,25,33.33
fine_tuned,illegal_activity,74,25,33.78
fine_tuned,manipulation,75,25,33.33
fine_tuned,privacy,74,25,33.78
fine_tuned,violence,75,25,33.33
fine_tuned,weapons,73,25,34.25
