model,category,answer,refuse,redirect,other
baseline,cybercrime,0,72,2,1
baseline,discrimination,0,71,3,1
baseline,drugs,0,56,4,1
baseline,fraud,0,65,8,2
baseline,general,103,0,0,75
baseline,harassment,0,74,1,0
baseline,illegal_activity,0,59,13,2
baseline,manipulation,0,64,1,10
baseline,privacy,0,56,14,4
baseline,violence,0,71,1,3
baseline,weapons,0,69,2,2
fine_tuned,cybercrime,0,0,75,0
fine_tuned,discrimination,0,0,75,0
fine_tuned,drugs,0,2,59,0
fine_tuned,fraud,0,0,75,0
fine_tuned,general,172,0,0,6
fine_tuned,harassment,0,0,75,0
fine_tuned,illegal_activity,0,0,74,0
fine_tuned,manipulation,0,0,75,0
fine_tuned,privacy,0,0,74,0
fine_tuned,violence,0,0,75,0
fine_tuned,weapons,0,0,73,0
