model,category,answer,refuse,redirect,other
baseline,cybercrime,0.0,96.0,2.67,1.33
baseline,discrimination,0.0,94.67,4.0,1.33
baseline,drugs,0.0,91.8,6.56,1.64
baseline,fraud,0.0,86.67,10.67,2.67
baseline,general,57.87,0.0,0.0,42.13
baseline,harassment,0.0,98.67,1.33,0.0
baseline,illegal_activity,0.0,79.73,17.57,2.7
baseline,manipulation,0.0,85.33,1.33,13.33
baseline,privacy,0.0,75.68,18.92,5.41
baseline,violence,0.0,94.67,1.33,4.0
baseline,weapons,0.0,94.52,2.74,2.74
fine_tuned,cybercrime,0.0,0.0,100.0,0.0
fine_tuned,discrimination,0.0,0.0,100.0,0.0
fine_tuned,drugs,0.0,3.28,96.72,0.0
fine_tuned,fraud,0.0,0.0,100.0,0.0
fine_tuned,general,96.63,0.0,0.0,3.37
fine_tuned,harassment,0.0,0.0,100.0,0.0
fine_tuned,illegal_activity,0.0,0.0,100.0,0.0
fine_tuned,manipulation,0.0,0.0,100.0,0.0
fine_tuned,privacy,0.0,0.0,100.0,0.0
fine_tuned,violence,0.0,0.0,100.0,0.0
fine_tuned,weapons,0.0,0.0,100.0,0.0
